Product Name,Price
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,KSh 600
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCH","KSh 13,599"
ColorScreen  SmartWatch Heart Rate Sport Bracelet,KSh 489
Smartwatch Business Bluetooth Waterproof Sport,KSh 558
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY","KSh 2,399"
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)","KSh 11,599"
Istanbul 2 Modern TV Stand With LED Lights,"KSh 6,959"
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,KSh 781
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 14,590"
Fashion Men Leather Loafers & Slip-Ons,KSh 727
Color Screen Smart Watch Heart Rate Sport Bracelet,KSh 518
Stereo F9 Bluetooth Earphone  Power Headset,KSh 540
Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,"KSh 1,830"
"VILLAON V20 6.3"" 2GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim-Blue","KSh 6,288"
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,022"
Vitron VB-886 - 2in1 Blender - 1.5L - 350W - White (1YR WRTY),"KSh 1,688"
Vitron V5204 2.1Ch Multimedia Speaker System BT/USB/MP3 - Black,"KSh 4,234"
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),"KSh 1,599"
Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue (1YR WRTY),"KSh 1,581"
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)","KSh 11,599"
Vitron V402 2.1 Inch Bluetooth Speaker System,"KSh 2,793"
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV (1YR WRTY)","KSh 10,740"
Vitron VDF142SG - Flip-top 142 Litres Chest Freezer - Silver (1YR WRTY),"KSh 25,380"
